95.20.35.137	tcp,192.168.1.2,21,36
24.255.8.39	tcp,192.168.1.2,0,0
125.125.190.136	tcp,192.168.1.2,11,70
203.67.221.225	tcp,192.168.1.2,24,31
203.67.221.225	tcp,192.168.1.2,0,0
201.58.212.236	tcp,192.168.1.2,32,38
192.168.1.2	tcp,201.58.212.236,0,0
87.6.95.91	tcp,192.168.1.2,22,26
87.6.95.91	tcp,192.168.1.2,0,0
83.32.240.163	tcp,192.168.1.2,29,29
78.246.154.89	tcp,192.168.1.2,22,42
192.168.1.2	tcp,78.246.154.89,0,0
201.8.162.204	tcp,192.168.1.2,27,42
192.168.1.2	tcp,201.8.162.204,0,0
62.39.234.183	tcp,192.168.1.2,39,32
62.39.234.183	tcp,192.168.1.2,0,0
109.118.42.135	tcp,192.168.1.2,25,44
192.168.1.2	tcp,109.118.42.135,0,0
41.207.27.192	tcp,192.168.1.2,26,37
192.168.1.2	tcp,41.207.27.192,0,0
187.91.180.224	tcp,192.168.1.2,26,33
188.152.36.50	tcp,192.168.1.2,24,32
114.241.43.100	tcp,192.168.1.2,18,40
83.113.142.165	tcp,192.168.1.2,28,24
83.113.142.165	tcp,192.168.1.2,0,0
79.6.249.205	tcp,192.168.1.2,24,32
88.61.44.79	tcp,192.168.1.2,32,33
93.36.192.21	tcp,192.168.1.2,26,34
93.36.192.21	tcp,192.168.1.2,0,0
88.61.44.79	tcp,192.168.1.2,0,0
79.6.249.205	tcp,192.168.1.2,0,0
192.168.1.2	tcp,88.61.44.79,0,0
192.168.1.2	tcp,79.6.249.205,0,0
114.241.43.100	tcp,192.168.1.2,0,0
93.181.150.117	tcp,192.168.1.2,28,37
192.168.1.2	tcp,93.181.150.117,0,0
93.149.140.55	tcp,192.168.1.2,39,38
2.36.2.20	tcp,192.168.1.2,26,35
93.149.140.55	tcp,192.168.1.2,0,0
2.36.2.20	tcp,192.168.1.2,0,0
195.241.163.132	tcp,192.168.1.2,36,43
195.241.163.132	tcp,192.168.1.2,0,0
60.20.107.37	tcp,192.168.1.2,0,0
81.33.69.210	tcp,192.168.1.2,19,29
192.168.1.2	tcp,81.33.69.210,0,0
113.92.43.94	tcp,192.168.1.2,27,41
192.168.1.2	tcp,113.92.43.94,0,0
192.168.1.2	tcp,113.92.43.94,0,0
86.214.93.14	tcp,192.168.1.2,29,35
86.214.93.14	tcp,192.168.1.2,0,0
60.247.70.35	tcp,192.168.1.2,26,32
2.38.138.43	tcp,192.168.1.2,29,35
2.38.138.43	tcp,192.168.1.2,0,0
60.247.70.35	tcp,192.168.1.2,0,0
77.72.199.6	tcp,192.168.1.2,25,44
192.168.1.2	tcp,77.72.199.6,0,0
82.57.126.148	tcp,192.168.1.2,28,34
95.230.2.58	tcp,192.168.1.2,29,35
82.57.126.148	tcp,192.168.1.2,0,0
95.230.2.58	tcp,192.168.1.2,0,0
192.168.1.2	tcp,60.20.107.37,0,0
222.220.97.40	tcp,192.168.1.2,34,48
49.72.73.192	tcp,192.168.1.2,35,52
192.168.1.2	tcp,49.72.73.192,0,0
122.126.0.83	tcp,192.168.1.2,19,42
192.168.1.2	tcp,122.126.0.83,0,0
86.219.126.50	tcp,192.168.1.2,24,36
86.219.126.50	tcp,192.168.1.2,0,0
82.54.166.18	tcp,192.168.1.2,36,41
192.168.1.2	tcp,82.54.166.18,0,0
2.2.242.145	tcp,192.168.1.2,35,32
2.2.242.145	tcp,192.168.1.2,0,0
192.168.1.2	tcp,49.72.73.192,0,0
84.75.17.227	tcp,192.168.1.2,26,35
84.75.17.227	tcp,192.168.1.2,0,0
78.134.46.113	tcp,192.168.1.2,38,31
78.134.46.113	tcp,192.168.1.2,0,0
41.201.124.104	tcp,192.168.1.2,29,50
192.168.1.2	tcp,41.201.124.104,0,0
222.220.97.40	tcp,192.168.1.2,0,0
192.168.1.2	tcp,60.20.107.37,0,0
88.37.68.49	tcp,192.168.1.2,31,38
192.168.1.2	tcp,88.37.68.49,0,0
85.59.34.100	tcp,192.168.1.2,25,27
112.251.74.232	tcp,192.168.1.2,21,28
85.59.34.100	tcp,192.168.1.2,0,0
112.251.74.232	tcp,192.168.1.2,0,0
46.25.119.29	tcp,192.168.1.2,35,47
82.245.218.136	tcp,192.168.1.2,22,33
46.25.119.29	tcp,192.168.1.2,0,0
82.245.218.136	tcp,192.168.1.2,0,0
151.81.15.245	tcp,192.168.1.2,24,25
201.13.191.130	tcp,192.168.1.2,26,35
201.13.191.130	tcp,192.168.1.2,0,0
192.168.1.2	tcp,49.72.73.192,0,0
86.75.6.110	tcp,192.168.1.2,32,52
192.168.1.2	tcp,86.75.6.110,0,0
189.74.177.218	tcp,192.168.1.2,32,44
192.168.1.2	tcp,189.74.177.218,0,0
201.58.206.193	tcp,192.168.1.2,22,42
192.168.1.2	tcp,201.58.206.193,0,0
84.124.88.51	tcp,192.168.1.2,26,40
192.168.1.2	tcp,84.124.88.51,0,0
213.93.65.129	tcp,192.168.1.2,30,54
192.168.1.2	tcp,213.93.65.129,0,0
151.95.52.205	tcp,192.168.1.2,25,35
87.19.144.117	tcp,192.168.1.2,29,29
151.95.52.205	tcp,192.168.1.2,0,0
79.10.191.225	tcp,192.168.1.2,34,34
79.10.191.225	tcp,192.168.1.2,0,0
78.192.44.224	tcp,192.168.1.2,32,41
192.168.1.2	tcp,78.192.44.224,0,0
93.70.206.176	tcp,192.168.1.2,26,35
93.70.206.176	tcp,192.168.1.2,0,0
81.247.66.168	tcp,192.168.1.2,31,44
93.145.250.78	tcp,192.168.1.2,33,35
93.145.250.78	tcp,192.168.1.2,0,0
81.247.66.168	tcp,192.168.1.2,0,0
187.41.98.93	tcp,192.168.1.2,22,44
192.168.1.2	tcp,187.41.98.93,0,0
189.51.97.20	tcp,192.168.1.2,28,47
192.168.1.2	tcp,189.51.97.20,0,0
92.137.141.166	tcp,192.168.1.2,19,40
192.168.1.2	tcp,92.137.141.166,0,0
83.36.55.19	tcp,192.168.1.2,23,58
192.168.1.2	tcp,83.36.55.19,0,0
192.168.1.2	tcp,49.72.73.192,0,0
93.71.27.155	tcp,192.168.1.2,29,35
93.71.27.155	tcp,192.168.1.2,0,0
95.246.28.244	tcp,192.168.1.2,36,27
192.168.1.2	tcp,60.20.107.37,0,0
192.168.1.2	tcp,95.246.28.244,0,0
90.165.150.82	tcp,192.168.1.2,19,43
192.168.1.2	tcp,90.165.150.82,0,0
79.3.201.167	tcp,192.168.1.2,26,33
83.21.58.20	tcp,192.168.1.2,32,25
83.21.58.20	tcp,192.168.1.2,0,0
192.168.1.2	tcp,79.3.201.167,0,0
78.126.185.166	tcp,192.168.1.2,25,30
192.168.1.2	tcp,78.126.185.166,0,0
78.114.38.151	tcp,192.168.1.2,29,35
78.114.38.151	tcp,192.168.1.2,0,0
192.168.1.2	tcp,95.246.28.244,0,0
93.33.250.232	tcp,192.168.1.2,34,31
79.38.170.164	tcp,192.168.1.2,22,24
188.216.25.220	tcp,192.168.1.2,26,33
79.38.170.164	tcp,192.168.1.2,0,0
93.33.250.232	tcp,192.168.1.2,0,0
192.168.1.2	tcp,188.216.25.220,0,0
192.168.1.2	tcp,85.177.158.170,46,13
192.168.1.2	tcp,79.3.201.167,0,0
81.220.194.18	tcp,192.168.1.2,31,39
192.168.1.2	tcp,81.220.194.18,0,0
218.19.223.104	tcp,192.168.1.2,27,21
218.19.223.104	tcp,192.168.1.2,0,0
95.18.174.7	tcp,192.168.1.2,33,42
2.38.215.218	tcp,192.168.1.2,29,35
2.38.215.218	tcp,192.168.1.2,0,0
95.18.174.7	tcp,192.168.1.2,0,0
192.168.1.2	tcp,93.33.250.232,0,0
187.73.245.22	tcp,192.168.1.2,30,43
192.168.1.2	tcp,187.73.245.22,0,0
90.1.17.233	tcp,192.168.1.2,29,32
90.1.17.233	tcp,192.168.1.2,0,0
192.168.1.2	tcp,79.3.201.167,0,0
88.8.20.101	tcp,192.168.1.2,0,83
94.164.44.236	tcp,192.168.1.2,24,38
88.8.20.101	tcp,192.168.1.2,0,0
94.164.44.236	tcp,192.168.1.2,0,0
79.30.44.151	tcp,192.168.1.2,26,35
79.30.44.151	tcp,192.168.1.2,0,0
93.147.189.186	tcp,192.168.1.2,34,40
93.147.189.186	tcp,192.168.1.2,0,0
50.12.53.175	tcp,192.168.1.2,32,26
50.12.53.175	tcp,192.168.1.2,0,0
151.50.182.176	tcp,192.168.1.2,25,41
95.235.113.146	tcp,192.168.1.2,38,25
151.50.182.176	tcp,192.168.1.2,0,0
113.4.75.173	tcp,192.168.1.2,37,30
113.4.75.173	tcp,192.168.1.2,0,0
192.168.1.2	tcp,93.33.250.232,0,0
94.68.14.248	tcp,192.168.1.2,26,47
192.168.1.2	tcp,94.68.14.248,0,0
88.104.170.221	tcp,192.168.1.2,30,47
192.168.1.2	tcp,88.104.170.221,0,0
79.50.98.82	tcp,192.168.1.2,31,42
192.168.1.2	tcp,79.50.98.82,0,0
192.168.1.2	tcp,60.20.107.37,0,0
222.220.97.40	tcp,192.168.1.2,26,44
222.220.97.40	tcp,192.168.1.2,0,0
122.85.223.177	tcp,192.168.1.2,28,37
192.168.1.2	tcp,122.85.223.177,0,0
84.81.179.47	tcp,192.168.1.2,29,35
84.81.179.47	tcp,192.168.1.2,0,0
187.58.152.64	tcp,192.168.1.2,30,48
192.168.1.2	tcp,187.58.152.64,0,0
41.248.40.59	tcp,192.168.1.2,0,0
201.58.127.170	tcp,192.168.1.2,22,42
192.168.1.2	tcp,201.58.127.170,0,0
86.173.154.203	tcp,192.168.1.2,27,35
86.173.154.203	tcp,192.168.1.2,0,0
183.36.6.238	tcp,192.168.1.2,29,35
192.168.1.2	tcp,183.36.6.238,0,0
192.168.1.2	tcp,122.85.223.177,0,0
79.0.163.171	tcp,192.168.1.2,27,40
79.0.163.171	tcp,192.168.1.2,0,0
219.70.30.54	tcp,192.168.1.2,30,52
192.168.1.2	tcp,219.70.30.54,0,0
93.46.69.170	tcp,192.168.1.2,28,37
192.168.1.2	tcp,93.46.69.170,0,0
2.37.50.12	tcp,192.168.1.2,38,39
2.37.50.12	tcp,192.168.1.2,0,0
77.225.222.117	tcp,192.168.1.2,30,49
192.168.1.2	tcp,77.225.222.117,0,0
81.30.22.144	tcp,192.168.1.2,33,45
192.168.1.2	tcp,81.30.22.144,0,0
165.190.89.172	tcp,192.168.1.2,25,36
87.23.41.43	tcp,192.168.1.2,25,28
165.190.89.172	tcp,192.168.1.2,0,0
81.30.22.144	tcp,192.168.1.2,0,0
87.23.41.43	tcp,192.168.1.2,0,0
83.59.204.196	tcp,192.168.1.2,19,28
192.168.1.2	tcp,83.59.204.196,0,0
119.51.199.12	tcp,192.168.1.2,28,43
80.116.182.212	tcp,192.168.1.2,30,30
80.116.182.212	tcp,192.168.1.2,0,0
192.168.1.2	tcp,122.85.223.177,0,0
79.56.213.65	tcp,192.168.1.2,25,34
79.56.213.65	tcp,192.168.1.2,0,0
119.51.199.12	tcp,192.168.1.2,0,0
79.182.112.215	tcp,192.168.1.2,21,22
117.136.22.184	tcp,192.168.1.2,25,30
93.10.96.10	tcp,192.168.1.2,29,35
93.10.96.10	tcp,192.168.1.2,0,0
79.182.112.215	tcp,192.168.1.2,0,0
41.224.171.219	tcp,192.168.1.2,1,79
83.230.183.47	tcp,192.168.1.2,20,35
192.168.1.2	tcp,83.230.183.47,0,0
79.4.173.64	tcp,192.168.1.2,19,42
192.168.1.2	tcp,79.4.173.64,0,0
201.161.26.220	tcp,192.168.1.2,25,44
192.168.1.2	tcp,201.161.26.220,0,0
46.116.212.175	tcp,192.168.1.2,26,35
192.168.1.2	tcp,46.116.212.175,0,0
112.251.74.232	tcp,192.168.1.2,29,33
112.251.74.232	tcp,192.168.1.2,0,0
151.53.252.178	tcp,192.168.1.2,27,59
192.168.1.2	tcp,151.53.252.178,0,0
89.81.134.41	tcp,192.168.1.2,29,35
78.12.93.213	tcp,192.168.1.2,22,45
192.168.1.2	tcp,78.12.93.213,0,0
81.172.117.210	tcp,192.168.1.2,25,44
192.168.1.2	tcp,81.172.117.210,0,0
149.6.118.94	tcp,192.168.1.2,35,36
87.18.110.172	tcp,192.168.1.2,21,30
95.247.211.134	tcp,192.168.1.2,25,25
149.6.118.94	tcp,192.168.1.2,0,0
95.247.211.134	tcp,192.168.1.2,0,0
87.18.110.172	tcp,192.168.1.2,0,0
187.58.90.234	tcp,192.168.1.2,30,41
192.168.1.2	tcp,187.58.90.234,0,0
125.119.174.86	tcp,192.168.1.2,21,60
92.102.118.108	tcp,192.168.1.2,32,53
192.168.1.2	tcp,92.102.118.108,0,0
187.2.100.56	tcp,192.168.1.2,23,52
192.168.1.2	tcp,187.2.100.56,0,0
218.84.107.148	tcp,192.168.1.2,25,29
87.19.215.4	tcp,192.168.1.2,31,34
79.7.223.57	tcp,192.168.1.2,26,35
79.7.223.57	tcp,192.168.1.2,0,0
218.84.107.148	tcp,192.168.1.2,0,0
87.19.215.4	tcp,192.168.1.2,0,0
192.168.1.2	tcp,111.80.233.195,56,3
192.168.1.2	tcp,125.119.174.86,0,0
77.196.143.54	tcp,192.168.1.2,17,28
192.168.1.2	tcp,77.196.143.54,0,0
83.35.59.233	tcp,192.168.1.2,25,44
192.168.1.2	tcp,83.35.59.233,0,0
178.207.46.196	tcp,192.168.1.2,28,49
192.168.1.2	tcp,178.207.46.196,0,0
125.119.174.86	tcp,192.168.1.2,36,0
213.136.137.97	tcp,192.168.1.2,23,51
192.168.1.2	tcp,213.136.137.97,0,0
151.20.68.223	tcp,192.168.1.2,34,41
151.20.68.223	tcp,192.168.1.2,0,0
81.33.205.239	tcp,192.168.1.2,27,58
192.168.1.2	tcp,81.33.205.239,0,0
77.20.108.238	tcp,192.168.1.2,34,33
77.20.108.238	tcp,192.168.1.2,0,0
87.3.41.145	tcp,192.168.1.2,22,44
192.168.1.2	tcp,87.3.41.145,0,0
93.45.85.18	tcp,192.168.1.2,30,45
192.168.1.2	tcp,93.45.85.18,0,0
151.47.87.114	tcp,192.168.1.2,28,37
81.53.154.93	tcp,192.168.1.2,34,38
85.48.37.190	tcp,192.168.1.2,26,33
78.236.96.127	tcp,192.168.1.2,26,36
78.236.96.127	tcp,192.168.1.2,0,0
81.53.154.93	tcp,192.168.1.2,0,0
85.48.37.190	tcp,192.168.1.2,0,0
67.180.244.109	tcp,192.168.1.2,27,33
192.168.1.2	tcp,67.180.244.109,0,0
192.168.1.2	tcp,77.20.108.238,0,0
151.47.87.114	tcp,192.168.1.2,0,0
83.42.83.112	tcp,192.168.1.2,33,44
192.168.1.2	tcp,83.42.83.112,0,0
200.121.150.216	tcp,192.168.1.2,29,35
200.121.150.216	tcp,192.168.1.2,0,0
90.10.161.27	tcp,192.168.1.2,33,31
90.10.161.27	tcp,192.168.1.2,0,0
192.168.1.2	tcp,82.213.190.168,65,1
151.61.228.69	tcp,192.168.1.2,22,45
192.168.1.2	tcp,151.61.228.69,0,0
87.10.68.54	tcp,192.168.1.2,31,43
94.219.209.139	tcp,192.168.1.2,29,43
94.219.209.139	tcp,192.168.1.2,0,0
87.10.68.54	tcp,192.168.1.2,0,0
82.237.125.228	tcp,192.168.1.2,32,52
192.168.1.2	tcp,82.237.125.228,0,0
109.212.247.187	tcp,192.168.1.2,26,35
109.212.247.187	tcp,192.168.1.2,0,0
93.45.83.96	tcp,192.168.1.2,30,50
192.168.1.2	tcp,93.45.83.96,0,0
95.234.109.161	tcp,192.168.1.2,25,44
192.168.1.2	tcp,95.234.109.161,0,0
222.220.97.40	tcp,192.168.1.2,21,28
222.220.97.40	tcp,192.168.1.2,0,0
82.49.16.149	tcp,192.168.1.2,35,34
82.49.16.149	tcp,192.168.1.2,0,0
79.42.142.55	tcp,192.168.1.2,32,36
89.129.230.185	tcp,192.168.1.2,29,35
79.42.142.55	tcp,192.168.1.2,0,0
89.129.230.185	tcp,192.168.1.2,0,0
79.27.49.57	tcp,192.168.1.2,29,34
192.168.1.2	tcp,79.27.49.57,0,0
89.29.238.116	tcp,192.168.1.2,25,45
192.168.1.2	tcp,89.29.238.116,0,0
114.219.35.16	tcp,192.168.1.2,29,42
192.168.1.2	tcp,114.219.35.16,0,0
93.147.71.111	tcp,192.168.1.2,29,35
93.147.71.111	tcp,192.168.1.2,0,0
83.53.27.101	tcp,192.168.1.2,25,44
192.168.1.2	tcp,83.53.27.101,0,0
80.104.114.144	tcp,192.168.1.2,29,36
80.104.114.144	tcp,192.168.1.2,0,0
86.192.197.81	tcp,192.168.1.2,38,46
86.192.197.81	tcp,192.168.1.2,0,0
79.109.167.59	tcp,192.168.1.2,23,46
192.168.1.2	tcp,79.109.167.59,0,0
201.62.139.228	tcp,192.168.1.2,30,41
192.168.1.2	tcp,201.62.139.228,0,0
212.70.205.112	tcp,192.168.1.2,28,34
212.70.205.112	tcp,192.168.1.2,0,0
200.103.34.201	tcp,192.168.1.2,23,54
192.168.1.2	tcp,200.103.34.201,0,0
121.54.42.136	tcp,192.168.1.2,30,41
87.3.196.10	tcp,192.168.1.2,26,35
87.3.196.10	tcp,192.168.1.2,0,0
121.54.42.136	tcp,192.168.1.2,0,0
192.168.1.2	tcp,62.21.4.165,18,22
192.168.1.2	tcp,62.21.4.165,0,0
121.8.187.126	tcp,192.168.1.2,30,36
93.46.211.77	tcp,192.168.1.2,28,32
192.168.1.2	tcp,95.244.222.68,34,42
95.244.222.68	tcp,192.168.1.2,0,0
93.46.211.77	tcp,192.168.1.2,0,0
121.8.187.126	tcp,192.168.1.2,0,0
93.45.217.169	tcp,192.168.1.2,17,50
192.168.1.2	tcp,93.45.217.169,0,0
87.235.90.209	tcp,192.168.1.2,0,84
87.235.90.209	tcp,192.168.1.2,0,0
98.125.232.206	tcp,192.168.1.2,24,55
192.168.1.2	tcp,98.125.232.206,0,0
187.109.195.213	tcp,192.168.1.2,22,30
112.251.74.232	tcp,192.168.1.2,22,36
82.213.190.168	tcp,192.168.1.2,26,21
82.213.190.168	tcp,192.168.1.2,0,0
112.251.74.232	tcp,192.168.1.2,0,0
125.119.174.86	tcp,192.168.1.2,30,41
79.8.190.187	tcp,192.168.1.2,33,31
79.8.190.187	tcp,192.168.1.2,0,0
187.109.195.213	tcp,192.168.1.2,0,0
189.105.22.170	tcp,192.168.1.2,35,50
192.168.1.2	tcp,189.105.22.170,0,0
151.20.85.233	tcp,192.168.1.2,32,43
95.16.7.136	tcp,192.168.1.2,26,35
151.20.85.233	tcp,192.168.1.2,0,0
95.16.7.136	tcp,192.168.1.2,0,0
80.103.105.104	tcp,192.168.1.2,2,65
93.67.242.126	tcp,192.168.1.2,21,40
192.168.1.2	tcp,93.67.242.126,0,0
151.61.119.59	tcp,192.168.1.2,29,36
151.61.119.59	tcp,192.168.1.2,0,0
93.173.34.200	tcp,192.168.1.2,38,28
192.168.1.2	tcp,93.173.34.200,0,0
89.128.26.230	tcp,192.168.1.2,24,39
192.168.1.2	tcp,89.128.26.230,0,0
79.157.7.143	tcp,192.168.1.2,32,31
79.157.7.143	tcp,192.168.1.2,0,0
192.168.1.2	tcp,125.119.174.86,60,0
90.1.203.39	tcp,192.168.1.2,27,39
91.97.135.9	tcp,192.168.1.2,26,34
90.1.203.39	tcp,192.168.1.2,0,0
91.97.135.9	tcp,192.168.1.2,0,0
86.207.19.66	tcp,192.168.1.2,26,36
86.207.19.66	tcp,192.168.1.2,0,0
183.216.39.56	tcp,192.168.1.2,54,42
201.41.199.147	tcp,192.168.1.2,35,37
192.168.1.2	tcp,201.41.199.147,0,0
93.42.148.125	tcp,192.168.1.2,29,35
93.42.148.125	tcp,192.168.1.2,0,0
78.101.207.30	tcp,192.168.1.2,22,44
192.168.1.2	tcp,78.101.207.30,0,0
84.146.78.44	tcp,192.168.1.2,28,40
192.168.1.2	tcp,84.146.78.44,0,0
83.39.138.168	tcp,192.168.1.2,22,29
192.168.1.2	tcp,83.39.138.168,0,0
85.54.151.92	tcp,192.168.1.2,35,40
87.13.36.33	tcp,192.168.1.2,1,71
192.168.1.2	tcp,87.13.36.33,0,0
87.3.103.95	tcp,192.168.1.2,25,32
192.168.1.2	tcp,87.3.103.95,0,0
84.125.129.158	tcp,192.168.1.2,26,36
192.168.1.2	tcp,84.125.129.158,0,0
95.232.187.195	tcp,192.168.1.2,30,34
95.232.187.195	tcp,192.168.1.2,0,0
183.216.39.56	tcp,192.168.1.2,0,77
87.19.76.190	tcp,192.168.1.2,29,35
193.153.250.239	tcp,192.168.1.2,34,37
83.42.194.152	tcp,192.168.1.2,23,28
83.42.194.152	tcp,192.168.1.2,0,0
193.153.250.239	tcp,192.168.1.2,0,0
87.19.76.190	tcp,192.168.1.2,0,0
151.76.235.163	tcp,192.168.1.2,22,44
192.168.1.2	tcp,151.76.235.163,0,0
125.34.45.4	tcp,192.168.1.2,23,31
82.35.235.202	tcp,192.168.1.2,28,27
82.35.235.202	tcp,192.168.1.2,0,0
125.34.45.4	tcp,192.168.1.2,0,0
93.39.101.116	tcp,192.168.1.2,26,43
93.39.101.116	tcp,192.168.1.2,0,0
218.84.107.149	tcp,192.168.1.2,0,0
218.186.226.49	tcp,192.168.1.2,23,35
41.214.12.42	tcp,192.168.1.2,24,27
83.40.220.197	tcp,192.168.1.2,21,27
93.42.28.219	tcp,192.168.1.2,34,31
84.123.193.52	tcp,192.168.1.2,29,35
84.123.193.52	tcp,192.168.1.2,0,0
83.40.220.197	tcp,192.168.1.2,0,0
93.42.28.219	tcp,192.168.1.2,0,0
192.168.1.2	tcp,93.42.28.219,0,0
192.168.1.2	tcp,218.186.226.49,0,0
82.235.186.245	tcp,192.168.1.2,22,44
192.168.1.2	tcp,82.235.186.245,0,0
212.183.163.230	tcp,192.168.1.2,21,45
192.168.1.2	tcp,212.183.163.230,0,0
187.95.182.131	tcp,192.168.1.2,22,33
187.95.182.131	tcp,192.168.1.2,0,0
84.232.82.142	tcp,192.168.1.2,36,44
151.33.221.117	tcp,192.168.1.2,34,42
151.33.221.117	tcp,192.168.1.2,0,0
84.232.82.142	tcp,192.168.1.2,0,0
192.168.1.2	tcp,151.33.221.117,0,0
201.29.169.53	tcp,192.168.1.2,22,38
192.168.1.2	tcp,201.29.169.53,0,0
218.186.226.49	tcp,192.168.1.2,0,0
151.32.33.7	tcp,192.168.1.2,27,48
192.168.1.2	tcp,151.32.33.7,0,0
79.41.9.122	tcp,192.168.1.2,29,35
79.41.9.122	tcp,192.168.1.2,0,0
183.216.39.56	tcp,192.168.1.2,0,65
189.107.59.235	tcp,192.168.1.2,19,33
88.182.140.14	tcp,192.168.1.2,24,26
189.107.59.235	tcp,192.168.1.2,0,0
88.182.140.14	tcp,192.168.1.2,0,0
86.220.0.36	tcp,192.168.1.2,26,37
192.168.1.2	tcp,86.220.0.36,0,0
192.168.1.2	tcp,213.44.110.87,82,0
79.40.105.211	tcp,192.168.1.2,35,36
192.168.1.2	tcp,79.40.105.211,0,0
83.44.22.177	tcp,192.168.1.2,19,40
192.168.1.2	tcp,83.44.22.177,0,0
218.84.107.149	tcp,192.168.1.2,0,0
218.84.107.149	tcp,192.168.1.2,33,0
189.96.155.130	tcp,192.168.1.2,28,37
192.168.1.2	tcp,189.96.155.130,0,0
78.15.129.222	tcp,192.168.1.2,30,30
78.15.129.222	tcp,192.168.1.2,0,0
81.248.43.238	tcp,192.168.1.2,32,47
192.168.1.2	tcp,81.248.43.238,0,0
201.79.185.126	tcp,192.168.1.2,22,42
192.168.1.2	tcp,201.79.185.126,0,0
192.168.1.2	tcp,212.235.15.91,28,0
192.168.1.2	tcp,212.235.15.91,0,0
183.216.39.56	tcp,192.168.1.2,21,28
183.216.39.56	tcp,192.168.1.2,0,0
221.201.74.24	tcp,192.168.1.2,24,59
192.168.1.2	tcp,221.201.74.24,0,0
115.151.182.189	tcp,192.168.1.2,18,40
192.168.1.2	tcp,115.151.182.189,0,0
124.160.123.79	tcp,192.168.1.2,27,38
124.160.123.79	tcp,192.168.1.2,0,0
192.168.1.2	tcp,124.160.123.79,0,0
189.89.172.225	tcp,192.168.1.2,19,42
192.168.1.2	tcp,189.89.172.225,0,0
192.168.1.2	tcp,221.201.74.24,0,0
111.232.55.198	tcp,192.168.1.2,17,44
192.168.1.2	tcp,111.232.55.198,0,0
192.168.1.2	tcp,115.151.182.189,0,0
60.10.172.74	tcp,192.168.1.2,25,53
218.84.107.149	tcp,192.168.1.2,0,0
80.183.33.197	tcp,192.168.1.2,43,33
80.183.33.197	tcp,192.168.1.2,0,0
192.168.1.2	tcp,60.10.172.74,0,0
116.228.248.250	tcp,192.168.1.2,5,76
82.49.9.244	tcp,192.168.1.2,22,33
192.168.1.2	tcp,82.49.9.244,0,0
93.134.168.136	tcp,192.168.1.2,22,42
192.168.1.2	tcp,93.134.168.136,0,0
213.44.110.87	tcp,192.168.1.2,30,24
213.44.110.87	tcp,192.168.1.2,0,0
180.216.40.56	tcp,192.168.1.2,23,53
192.168.1.2	tcp,180.216.40.56,0,0
187.57.58.206	tcp,192.168.1.2,22,52
192.168.1.2	tcp,187.57.58.206,0,0
93.25.38.189	tcp,192.168.1.2,33,32
192.168.1.2	tcp,93.25.38.189,0,0
192.168.1.2	tcp,221.201.74.24,0,0
192.168.1.2	tcp,115.151.182.189,0,0
60.10.172.74	tcp,192.168.1.2,0,0
186.211.43.252	tcp,192.168.1.2,32,48
192.168.1.2	tcp,186.211.43.252,0,0
94.164.14.194	tcp,192.168.1.2,24,37
124.12.27.78	tcp,192.168.1.2,31,54
192.168.1.2	tcp,124.12.27.78,0,0
94.164.14.194	tcp,192.168.1.2,0,0
201.27.169.199	tcp,192.168.1.2,22,27
83.18.247.114	tcp,192.168.1.2,16,56
192.168.1.2	tcp,83.18.247.114,0,0
24.255.8.39	tcp,192.168.1.2,0,0
24.255.8.39	tcp,192.168.1.2,0,0
201.27.169.199	tcp,192.168.1.2,0,0
213.9.186.15	tcp,192.168.1.2,19,35
196.201.74.4	tcp,192.168.1.2,29,45
196.201.74.4	tcp,192.168.1.2,0,0
213.9.186.15	tcp,192.168.1.2,0,0
222.220.97.40	tcp,192.168.1.2,27,33
222.220.97.40	tcp,192.168.1.2,0,0
87.219.57.250	tcp,192.168.1.2,22,42
192.168.1.2	tcp,87.219.57.250,0,0
93.173.144.25	tcp,192.168.1.2,35,39
192.168.1.2	tcp,93.173.144.25,0,0
114.34.212.93	tcp,192.168.1.2,24,37
192.168.1.2	tcp,114.34.212.93,0,0
91.117.86.63	tcp,192.168.1.2,28,27
93.43.117.73	tcp,192.168.1.2,26,33
91.117.86.63	tcp,192.168.1.2,0,0
192.168.1.2	tcp,93.43.117.73,0,0
88.124.136.99	tcp,192.168.1.2,26,35
192.168.1.2	tcp,221.201.74.24,0,0
88.124.136.99	tcp,192.168.1.2,0,0
125.112.112.251	tcp,192.168.1.2,28,0
200.192.99.86	tcp,192.168.1.2,37,34
192.168.1.2	tcp,200.192.99.86,0,0
125.112.112.251	tcp,192.168.1.2,0,0
192.168.1.2	tcp,115.151.182.189,0,0
64.131.255.196	tcp,192.168.1.2,30,48
192.168.1.2	tcp,64.131.255.196,0,0
111.80.233.195	tcp,192.168.1.2,28,33
151.21.106.49	tcp,192.168.1.2,36,40
151.21.106.49	tcp,192.168.1.2,0,0
111.80.233.195	tcp,192.168.1.2,0,0
93.58.27.33	tcp,192.168.1.2,23,40
192.168.1.2	tcp,93.58.27.33,0,0
82.239.206.51	tcp,192.168.1.2,26,33
82.239.206.51	tcp,192.168.1.2,0,0
60.208.24.58	tcp,192.168.1.2,5,48
218.84.107.149	tcp,192.168.1.2,0,0
192.168.1.2	tcp,60.208.24.58,0,0
187.52.121.213	tcp,192.168.1.2,22,42
192.168.1.2	tcp,187.52.121.213,0,0
192.168.1.2	tcp,79.55.220.170,82,0
192.168.1.2	tcp,79.55.220.170,0,0
